height,weight,label
180,69,normal
192,79,normal
159,83,faty
150,82,faty
180,70,normal
191,93,normal
194,64,thin
185,35,thin
192,53,thin
178,82,faty
160,78,faty
163,42,thin
186,60,thin
154,100,faty
193,78,normal
193,86,normal
155,37,thin
153,100,faty
164,46,thin
177,91,faty
157,89,faty
158,75,faty
189,55,thin
194,41,thin
185,56,thin
182,45,thin
175,88,faty
192,95,faty
180,84,faty
184,38,thin
191,45,thin
162,68,faty
172,81,faty
194,84,normal
193,74,normal
157,67,faty
165,77,faty
173,82,faty
182,99,faty
161,38,thin
174,90,faty
152,38,thin
164,89,faty
152,84,faty
163,48,thin
198,63,thin
161,44,thin
194,70,normal
152,90,faty
167,98,faty
172,41,thin
182,93,faty
173,61,normal
171,71,normal
179,95,faty
194,96,faty
165,56,normal
179,81,normal
161,59,normal
199,63,thin
188,35,thin
167,78,faty
161,65,normal
200,36,thin
182,40,thin
165,49,thin
173,99,faty
159,38,thin
170,70,normal
190,50,thin
164,99,faty
180,97,faty
190,80,normal
166,91,faty
197,55,thin
178,72,normal
189,40,thin
167,77,faty
182,91,faty
195,62,thin
196,71,thin
183,67,normal
151,35,thin
194,38,thin
158,69,faty
176,52,thin
165,60,normal
177,95,faty
153,68,faty
198,40,thin
176,90,faty
187,46,thin
175,60,normal
187,79,normal
173,84,faty
186,55,thin
151,54,normal
151,39,thin
154,88,faty
184,60,thin
200,83,normal
200,47,thin
195,80,normal
162,74,faty
167,97,faty
189,50,thin
163,85,faty
187,66,normal
154,87,faty
172,76,faty
155,77,faty
159,46,thin
196,74,normal
169,58,normal
198,90,normal
173,57,normal
151,61,faty
181,91,faty
181,57,thin
153,78,faty
179,65,normal
170,47,thin
164,35,thin
173,81,faty
167,60,normal
194,90,normal
168,63,normal
183,53,thin
182,77,normal
160,99,faty
179,84,faty
188,99,faty
195,66,thin
179,93,faty
200,41,thin
199,64,thin
176,85,faty
183,91,faty
192,41,thin
156,74,faty
172,37,thin
170,98,faty
173,74,normal
160,52,normal
180,63,normal
184,52,thin
166,98,faty
152,89,faty
173,71,normal
176,71,normal
174,76,normal
159,51,normal
166,39,thin
192,83,normal
176,89,faty
189,68,normal
171,87,faty
199,83,normal
181,84,faty
175,58,normal
160,61,normal
166,49,thin
167,41,thin
191,80,normal
197,74,normal
199,52,thin
169,62,normal
197,38,thin
185,74,normal
152,36,thin
160,60,normal
160,60,normal
195,72,normal
162,58,normal
199,74,normal
184,37,thin
188,48,thin
173,98,faty
184,60,thin
178,47,thin
183,35,thin
191,51,thin
175,99,faty
181,72,normal
179,80,normal
190,84,normal
176,38,thin
195,70,thin
151,54,normal
181,81,normal
194,48,thin
193,89,normal
185,86,normal
188,82,normal
198,44,thin
158,79,faty
153,64,faty
156,89,faty
155,42,thin
150,66,faty
151,49,normal
193,38,thin
187,64,thin
187,95,faty
190,61,thin
179,78,normal
177,75,normal
165,85,faty
155,78,faty
153,81,faty
159,73,faty
157,97,faty
188,52,thin
192,70,normal
150,60,faty
164,50,normal
180,90,faty
196,78,normal
175,75,normal
171,83,faty
198,97,normal
171,59,normal
189,81,normal
154,64,faty
171,84,faty
167,51,thin
184,91,faty
197,70,thin
166,78,faty
176,48,thin
157,98,faty
161,81,faty
185,54,thin
188,70,normal
174,77,normal
169,82,faty
172,77,faty
182,93,faty
154,57,normal
189,86,normal
163,76,faty
189,81,normal
189,79,normal
159,72,faty
171,77,faty
192,85,normal
152,77,faty
191,44,thin
192,47,thin
166,55,normal
181,46,thin
193,74,normal
160,91,faty
164,71,faty
154,64,faty
162,60,normal
167,50,thin
190,62,thin
187,58,thin
180,74,normal
179,51,thin
180,85,faty
178,94,faty
174,81,faty
167,60,normal
165,97,faty
182,78,normal
172,86,faty
169,52,thin
151,44,normal
192,72,normal
174,72,normal
180,54,thin
194,88,normal
186,75,normal
161,68,faty
177,87,faty
153,53,normal
153,92,faty
157,74,faty
165,55,normal
163,50,normal
199,83,normal
182,97,faty
169,46,thin
162,53,normal
164,83,faty
183,67,normal
183,81,normal
200,59,thin
158,61,normal
198,48,thin
200,65,thin
166,39,thin
184,91,faty
156,97,faty
189,58,thin
186,42,thin
177,73,normal
151,98,faty
174,80,faty
175,45,thin
154,93,faty
185,86,normal
184,36,thin
