,Player_Pos_X,Player_Pos_Y,Player_Pos_Z
0,300,9,300
3,299,5,299
4,299,6,300
19,298,6,298
21,297,6,297
22,296,6,296
24,295,6,295
26,294,5,294
52,293,5,294
59,292,5,294
61,291,4,294
62,290,4,294
63,288,4,294
64,287,4,294
65,284,5,294
66,282,5,294
67,280,5,294
68,277,5,294
69,275,5,294
70,272,6,294
71,268,6,294
72,265,7,294
73,262,7,295
74,261,8,295
75,259,8,295
76,258,9,294
77,257,9,294
78,256,9,294
83,255,9,294
85,253,10,294
86,252,10,294
87,251,10,294
88,249,10,294
89,248,11,294
90,247,11,294
93,246,11,294
94,245,11,294
95,244,11,294
97,242,11,294
99,241,11,294
101,240,11,294
102,238,11,294
103,237,11,294
104,235,10,294
105,234,10,294
106,232,10,294
107,231,10,294
108,229,10,294
109,228,10,294
110,226,10,294
111,224,9,294
112,223,9,294
113,220,9,294
114,218,8,294
115,217,8,294
117,216,8,294
120,215,8,294
121,214,8,295
122,214,8,294
123,213,8,294
135,214,8,293
137,214,8,292
138,214,8,291
139,214,9,290
140,215,9,289
153,216,9,289
155,218,9,289
156,219,10,289
157,221,10,289
158,222,10,289
159,224,11,289
160,226,11,289
161,228,12,289
162,231,12,289
163,232,12,289
164,234,12,289
180,235,12,289
184,236,12,289
187,237,12,289
189,238,12,289
190,239,12,289
191,240,12,289
192,241,12,289
193,243,12,289
194,244,12,289
195,245,12,289
196,246,12,289
197,248,12,289
198,249,11,289
199,251,11,289
200,253,11,289
202,254,10,289
218,255,10,289
220,256,10,289
222,258,9,289
223,259,9,289
224,261,8,289
225,263,8,289
226,264,7,289
227,266,7,289
228,270,6,289
229,273,6,289
230,276,5,289
231,278,5,289
232,280,5,289
233,281,5,289
239,282,5,289
241,283,5,289
242,284,5,289
243,285,4,289
244,286,4,289
245,288,5,289
246,290,5,289
247,292,5,290
248,293,5,290
257,294,6,290
279,294,6,289
282,294,6,288
288,294,6,287
290,294,6,286
291,294,7,285
292,295,7,284
312,294,7,284
316,293,7,284
318,292,7,284
319,290,7,284
320,289,6,284
321,288,6,284
322,287,6,284
325,286,6,284
332,285,5,284
334,284,5,284
335,283,5,284
336,282,5,284
337,280,5,284
338,279,5,284
340,278,6,284
341,277,6,284
342,275,6,284
343,274,6,284
344,272,6,284
345,269,6,284
346,267,7,284
347,266,7,284
348,263,8,284
349,261,8,284
350,257,9,284
351,255,10,284
352,253,11,284
353,251,11,284
354,248,12,284
355,245,12,284
356,242,13,284
357,239,13,284
358,236,13,284
359,232,13,284
360,228,13,284
361,225,12,284
362,223,12,284
363,221,11,284
364,219,11,284
372,218,10,284
374,217,10,284
375,216,10,284
395,215,9,284
415,215,9,283
416,215,9,282
417,215,9,281
418,215,9,279
419,214,9,278
430,215,9,278
432,216,10,278
433,217,10,278
434,218,11,278
435,220,11,278
436,221,12,278
437,223,12,278
438,225,12,278
439,228,13,278
440,230,13,278
441,232,13,278
442,233,13,278
443,234,13,278
444,235,13,278
445,236,13,278
446,238,13,278
447,240,13,278
448,242,12,279
450,243,12,279
454,244,12,279
456,245,12,279
457,246,11,279
458,247,11,279
459,249,11,279
460,251,10,279
461,253,10,279
462,255,9,279
463,256,9,279
464,258,8,279
465,260,8,279
466,262,7,279
467,264,7,279
468,267,7,279
469,270,6,279
470,272,6,279
471,274,6,279
472,275,6,279
481,276,6,279
483,278,6,279
485,280,5,279
486,281,5,279
487,284,6,279
488,285,6,279
489,286,6,279
490,287,6,279
492,288,7,279
493,290,7,279
494,291,7,279
495,293,7,279
496,294,7,279
497,296,7,279
514,295,7,279
518,295,7,278
520,295,7,277
521,295,7,276
522,295,7,274
523,294,7,274
542,293,7,274
543,292,7,274
544,291,7,274
545,290,7,274
546,288,7,274
547,287,7,274
548,285,6,274
549,282,5,274
550,280,5,274
551,277,5,274
552,275,5,274
553,273,6,274
554,272,6,274
557,271,6,274
584,270,6,274
586,269,6,274
587,268,6,274
588,266,6,274
589,265,7,274
590,263,7,274
591,261,7,274
592,259,8,274
593,256,8,274
594,254,9,274
595,251,9,274
596,249,10,274
597,245,10,274
598,242,11,274
599,238,12,274
600,235,12,274
601,233,12,274
602,229,12,275
603,228,12,275
635,228,12,274
639,228,12,273
640,229,12,273
641,229,12,272
642,229,11,271
645,229,11,270
664,230,11,270
671,231,11,270
673,232,11,270
674,233,11,270
675,234,11,270
680,235,11,270
682,236,11,270
683,238,10,270
684,239,10,270
685,240,10,270
695,241,10,270
696,242,10,270
697,243,9,270
698,244,9,270
699,245,9,270
700,247,9,270
701,249,9,270
702,251,8,270
703,252,8,270
706,253,8,270
717,254,8,270
721,255,8,270
723,257,8,270
724,258,8,270
725,259,7,270
726,261,7,270
727,263,7,270
728,265,6,270
729,268,6,270
730,270,5,270
731,272,5,270
732,273,5,270
734,274,4,270
738,275,4,270
739,276,4,270
744,277,4,270
745,278,4,270
746,279,4,270
765,280,5,270
773,281,5,270
774,282,5,270
776,284,6,269
777,285,6,269
778,286,7,269
779,287,7,269
782,288,7,269
784,289,7,269
785,290,7,269
786,291,7,270
787,292,7,270
789,293,7,270
790,294,7,270
791,294,7,269
822,294,7,268
825,294,7,267
826,294,7,265
827,295,7,264
850,294,7,264
858,293,7,264
860,292,7,264
861,291,7,264
862,289,7,264
863,288,7,264
864,286,7,264
865,284,7,264
866,283,6,264
867,279,5,264
868,277,4,264
869,276,4,264
893,276,3,265
923,276,3,266
945,277,3,266
961,277,3,267
963,276,3,267
986,275,3,267
1005,274,3,267
1011,273,3,267
1014,272,3,267
1015,271,3,267
1032,270,4,267
1040,269,4,267
1044,268,5,267
1046,267,5,267
1047,266,6,267
1048,265,6,267
1049,264,7,267
1054,263,7,267
1056,262,7,267
1057,261,7,266
1058,260,7,266
1059,259,8,266
1060,257,8,266
1061,255,8,266
1062,253,8,266
1063,250,8,266
1064,248,8,266
1065,246,8,266
1066,243,8,265
1067,239,9,265
1068,236,9,265
1069,233,9,265
1070,230,9,265
1071,227,9,265
1098,227,9,264
1106,227,9,263
1107,228,9,263
1108,228,8,262
1109,229,8,261
1113,229,8,260
1130,230,8,260
1131,231,8,260
1132,232,8,260
1133,233,8,260
1134,234,8,260
1135,236,8,260
1136,237,8,260
1137,240,8,260
1138,242,8,260
1139,245,8,260
1140,247,8,260
1141,250,8,260
1142,253,8,260
1143,255,8,260
1144,259,8,260
1145,260,7,260
1146,261,7,260
1147,262,7,260
1153,263,7,260
1154,264,7,260
1155,265,6,260
1156,266,6,260
1157,267,5,260
1158,269,2,261
1159,271,2,261
1160,273,3,261
1161,275,4,262
1162,276,4,262
1164,277,5,262
1181,278,5,262
1183,279,6,261
1187,280,6,261
1189,281,6,261
1190,282,7,261
1191,283,7,261
1192,284,7,261
1193,286,7,261
1194,287,7,260
1196,288,7,260
1197,289,7,260
1198,291,7,260
1199,293,7,260
1200,295,7,260
1201,295,7,259
1215,295,7,258
1216,295,7,257
1217,295,7,256
1218,295,7,255
1219,294,7,253
1220,294,7,251
1229,293,7,251
1231,292,7,251
1232,291,7,251
1233,290,7,251
1234,288,7,251
1235,287,7,251
1236,285,7,251
1237,283,7,251
1238,281,7,251
1239,278,8,252
1240,275,7,252
1241,271,6,252
1242,269,5,252
1243,267,5,252
1244,265,4,252
1245,264,4,252
1249,263,4,252
1250,262,4,252
1251,261,5,252
1252,260,5,252
1262,259,5,252
1264,258,6,252
1265,257,6,252
1266,256,6,252
1267,255,7,253
1272,254,7,253
1274,253,7,253
1275,252,7,253
1276,250,7,253
1280,249,8,253
1282,248,8,253
1283,247,8,253
1284,245,8,253
1285,244,8,253
1286,242,8,254
1287,240,8,254
1288,237,8,254
1289,235,8,254
1290,233,8,254
1291,229,8,255
1292,226,7,255
1293,224,7,255
1294,221,7,254
1295,220,6,253
1297,220,6,252
1323,221,6,252
