epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.85113,1.66061,4.26338,1.29161,0.00468,0.26999,0.02994,0.01584,1.54159,4.042,1.12096,0.00011817,0.00011817,0.00011817
2,14.6227,1.74335,3.40787,1.22109,0.01448,0.52121,0.14245,0.07051,1.68364,3.52631,1.14739,0.000233281,0.000233281,0.000233281
3,21.3701,1.70287,2.59765,1.22247,0.01257,0.33703,0.14229,0.08401,1.65447,3.6653,1.24354,0.000335794,0.000335794,0.000335794
4,28.1517,1.68022,2.25235,1.21498,0.01708,0.52111,0.21377,0.1198,1.65585,3.29591,1.24691,0.000425707,0.000425707,0.000425707
5,34.9098,1.67495,1.96462,1.18104,0.65568,0.08799,0.26145,0.14043,1.65878,2.88328,1.21747,0.000503022,0.000503022,0.000503022
6,41.3418,1.63181,1.79784,1.17303,0.69678,0.10997,0.26301,0.13718,1.71158,3.02948,1.28142,0.000567739,0.000567739,0.000567739
7,47.7926,1.60541,1.71436,1.16469,0.6423,0.2688,0.4118,0.22115,1.6881,2.46501,1.22249,0.000619856,0.000619856,0.000619856
8,54.1689,1.58168,1.59904,1.16065,0.55348,0.34925,0.41929,0.23368,1.77295,2.16185,1.23857,0.000594031,0.000594031,0.000594031
9,60.5753,1.55086,1.52432,1.14588,0.52563,0.36838,0.40043,0.20799,1.72575,2.42401,1.20845,0.000549036,0.000549036,0.000549036
10,67.0974,1.53671,1.48182,1.13937,0.58758,0.4667,0.51906,0.27085,1.71764,1.80138,1.21556,0.00050404,0.00050404,0.00050404
11,73.5493,1.49546,1.51811,1.13451,0.55154,0.39746,0.41562,0.22431,1.67461,2.0518,1.21408,0.000459045,0.000459045,0.000459045
12,79.7164,1.45447,1.42149,1.12095,0.53692,0.45016,0.44493,0.23604,1.703,1.79872,1.24295,0.000414049,0.000414049,0.000414049
13,85.7044,1.44352,1.38956,1.11988,0.55521,0.49995,0.47029,0.24871,1.63731,1.7822,1.21727,0.000369054,0.000369054,0.000369054
14,91.8864,1.40915,1.3184,1.09342,0.65925,0.48695,0.55042,0.29589,1.63803,1.51926,1.20727,0.000324058,0.000324058,0.000324058
15,98.1715,1.40331,1.28249,1.0992,0.65408,0.52508,0.59738,0.32419,1.6288,1.42117,1.18806,0.000279063,0.000279063,0.000279063
16,104.253,1.38479,1.25098,1.0788,0.64867,0.52637,0.60429,0.32733,1.5923,1.39877,1.16345,0.000234068,0.000234068,0.000234068
17,110.534,1.36115,1.21221,1.06736,0.68362,0.55882,0.64338,0.36365,1.57025,1.31794,1.15585,0.000189072,0.000189072,0.000189072
18,116.577,1.34343,1.16302,1.06224,0.70355,0.59701,0.64743,0.36915,1.56526,1.27174,1.15704,0.000144077,0.000144077,0.000144077
19,122.537,1.343,1.14899,1.06294,0.7258,0.60311,0.65726,0.3693,1.56307,1.24295,1.15496,9.9081e-05,9.9081e-05,9.9081e-05
20,128.578,1.31953,1.12252,1.05595,0.72599,0.59533,0.665,0.37992,1.55858,1.20833,1.15187,5.40855e-05,5.40855e-05,5.40855e-05
