Player_Pos_X,Player_Pos_Y,Player_Pos_Z
0,9,0
1,5,1
2,5,2
3,5,3
4,5,4
5,5,5
6,5,5
7,5,5
8,5,5
9,5,5
10,5,5
12,6,5
14,6,5
16,6,5
18,6,5
20,6,5
23,7,5
25,7,5
28,7,5
31,7,5
34,7,5
37,7,5
40,7,4
43,7,4
46,7,4
49,8,4
52,7,4
56,8,4
59,7,4
62,8,4
65,7,4
68,7,4
71,7,4
74,7,4
77,7,4
80,7,4
83,7,4
86,7,4
89,7,4
92,7,4
95,6,4
98,6,4
101,6,4
104,6,4
107,5,4
110,5,4
113,6,4
116,5,4
119,5,4
122,5,4
125,5,4
128,5,4
131,5,4
134,5,4
137,6,4
140,5,4
143,6,4
146,5,4
149,6,4
152,5,4
155,6,4
158,6,4
161,6,4
164,6,4
167,6,4
170,6,4
173,6,4
176,6,4
179,6,4
182,6,4
185,6,4
188,6,4
190,6,4
193,6,4
196,6,4
198,6,4
201,6,4
205,6,4
208,6,4
211,6,4
214,6,4
217,6,4
220,5,4
223,5,4
226,5,4
229,5,4
232,6,4
235,5,4
238,6,4
241,5,4
244,5,4
247,5,4
250,5,4
253,5,4
256,5,4
259,5,4
261,5,5
264,5,5
267,5,5
270,5,5
272,5,5
275,5,5
278,5,5
280,5,5
283,5,5
286,5,5
289,5,4
292,5,4
295,5,4
296,5,4
296,5,5
296,5,6
295,5,7
295,5,8
295,5,9
294,6,9
293,6,9
292,5,9
291,5,9
289,5,9
288,5,9
286,5,9
284,5,9
282,6,9
280,5,9
277,5,9
275,5,9
272,5,9
269,5,9
266,5,9
263,5,9
260,5,9
257,5,9
254,5,9
251,5,9
248,6,9
245,6,9
242,5,9
239,5,9
236,5,9
233,5,9
230,5,9
227,5,10
225,5,10
221,5,10
218,5,10
216,6,10
213,6,10
210,6,10
207,6,10
204,6,10
201,6,10
197,6,10
195,6,10
191,6,10
188,6,10
185,6,10
182,6,10
179,6,10
176,6,10
173,6,10
171,6,10
168,6,10
164,6,10
162,6,10
158,6,10
155,6,10
152,6,10
149,5,10
146,5,10
143,5,10
140,5,10
137,5,10
134,6,10
131,6,10
128,5,10
125,5,10
122,5,10
119,5,10
116,5,10
112,5,10
109,6,10
106,6,10
103,6,10
100,6,10
97,6,10
95,7,10
92,7,10
89,7,10
86,7,10
83,7,10
81,7,10
78,7,10
76,8,10
73,7,10
70,7,10
67,7,10
64,7,10
61,7,10
58,7,10
54,7,10
51,7,10
48,7,10
46,7,10
43,7,10
40,7,10
37,7,10
34,7,10
31,7,10
28,7,10
25,7,10
22,7,10
20,6,10
17,6,10
15,6,10
12,6,10
9,5,10
6,5,10
4,5,10
3,5,9
3,5,10
3,5,11
4,5,12
4,5,13
5,5,15
5,5,16
6,5,18
7,5,18
8,5,18
9,5,18
10,5,18
11,5,18
13,6,18
14,6,18
16,6,18
18,6,18
20,6,18
23,6,18
25,7,18
28,7,18
31,7,18
34,7,18
37,7,18
40,7,18
43,7,18
46,7,18
49,7,18
52,7,18
55,7,18
58,7,18
61,7,18
64,7,18
67,7,18
70,7,18
73,7,18
76,7,18
79,7,18
82,7,18
85,7,18
88,7,18
91,7,18
