Time,Distance,Player_Pos_X,Player_Pos_Y,Player_Pos_Z,Player_Speed,Player_Health,Player_Turret_X,Player_Turret_Y,Player_Body_X,Player_Body_Y,Player_Body_Z,TurretCam_X,TurretCam_Y,TurretCam_Z,StereoL_X,StereoL_Y,StereoL_Z,StereoL_Roll,StereoL_Pitch,StereoL_Yaw,StereoR_X,StereoR_Y,StereoR_Z,StereoR_Roll,StereoR_Pitch,StereoR_Yaw,Enemy_Pos_X,Enemy_Pos_Y,Enemy_Pos_Z,Enemy_Speed,Enemy_Health,Enemy_Turret_X,Enemy_Turret_Y,Enemy_Body_X,Enemy_Body_Y,Enemy_Body_Z
0.54,335.45,0.0000,8.3599,300.0000,-25.41,100.00,18.91,0.00,18.91,0.00,0.00,0.1201,11.3778,300.3287,-0.2456,11.3778,300.4646,0.00,0.00,18.91,0.7004,11.3778,300.1404,0.00,0.00,18.91,300.0454,8.7506,150.0048,-18.92,100.00,180.00,0.57,180.00,359.43,4.40
1.08,336.00,0.0000,7.8078,300.0000,1.03,100.00,40.32,0.00,40.32,0.00,0.00,0.2318,10.8257,300.2622,-0.0591,10.8257,300.5222,0.00,0.00,40.32,0.7033,10.8257,299.8751,0.00,0.00,40.32,300.6538,8.3276,150.0004,1.39,100.00,179.59,-0.66,179.59,0.66,35.44
1.59,336.20,0.0000,7.7545,300.0000,0.10,100.00,60.82,0.00,60.82,0.00,0.00,0.3089,10.7724,300.1644,0.1275,10.7724,300.5098,0.00,0.00,60.82,0.6151,10.7724,299.6367,0.00,0.00,60.82,300.8694,7.4763,149.9835,1.72,100.00,180.44,-0.31,180.44,0.31,61.49
2.13,335.63,0.0000,8.3853,300.0000,1.17,100.00,82.10,0.00,82.10,0.00,0.00,0.3475,11.4032,300.0411,0.3038,11.4032,300.4287,0.00,0.00,82.10,0.4413,11.4032,299.4382,0.00,0.00,82.10,300.2342,6.9966,149.9883,1.48,100.00,180.46,-0.18,180.46,0.18,101.40
2.65,335.33,0.0000,8.3852,300.0000,0.00,100.00,102.44,0.00,102.44,0.00,0.00,0.3402,11.4031,299.9177,0.4339,11.4031,300.2964,0.00,0.00,102.44,0.2185,11.4031,299.3199,0.00,0.00,102.44,299.9023,6.9763,149.9884,0.64,100.00,180.41,-0.05,180.41,0.05,118.28
3.17,335.31,0.0000,8.3777,300.0000,0.01,100.00,123.07,0.00,123.07,0.00,0.00,0.2894,11.3956,299.8032,0.5106,11.3956,300.1245,0.00,0.00,123.07,-0.0350,11.3956,299.2865,0.00,0.00,123.07,299.8820,6.9784,149.9883,0.04,100.00,180.41,-0.04,180.41,0.04,119.31
3.70,335.37,0.0001,8.3697,300.0000,0.02,100.00,136.14,0.00,136.14,0.00,0.00,0.2374,11.3876,299.7428,0.5255,11.3876,300.0059,0.00,0.00,136.14,-0.1955,11.3876,299.3129,0.00,0.00,136.14,299.9496,6.9733,149.9884,0.13,100.00,180.42,-0.06,180.42,0.06,115.88
4.25,335.42,0.0001,8.3525,300.0000,0.03,100.00,136.68,0.00,136.68,0.00,0.00,0.2350,11.3704,299.7406,0.5256,11.3704,300.0009,0.00,0.00,136.68,-0.2020,11.3704,299.3148,0.00,0.00,136.68,299.9988,6.9724,149.9884,0.09,100.00,180.43,-0.08,180.43,0.08,113.40
4.80,335.43,0.0001,8.3695,300.0000,0.03,100.00,135.58,0.00,135.58,0.00,0.00,0.2399,11.3874,299.7451,0.5255,11.3874,300.0110,0.00,0.00,135.58,-0.1887,11.3874,299.3111,0.00,0.00,135.58,300.0116,6.9724,149.9884,0.02,100.00,180.43,-0.09,180.43,0.09,112.74
5.35,335.43,0.0001,8.3841,300.0000,0.03,100.00,134.48,0.00,134.48,0.00,0.00,0.2448,11.4020,299.7498,0.5252,11.4020,300.0211,0.00,0.00,134.48,-0.1755,11.4020,299.3076,0.00,0.00,134.48,300.0116,6.9724,149.9884,0.00,100.00,180.43,-0.09,180.43,0.09,112.74
