Time,Distance,Player_Pos_X,Player_Pos_Y,Player_Pos_Z,Player_Speed,Player_Health,Player_Turret_X,Player_Turret_Y,Player_Body_X,Player_Body_Y,Player_Body_Z,TurretCam_X,TurretCam_Y,TurretCam_Z,StereoL_X,StereoL_Y,StereoL_Z,StereoL_Roll,StereoL_Pitch,StereoL_Yaw,StereoR_X,StereoR_Y,StereoR_Z,StereoR_Roll,StereoR_Pitch,StereoR_Yaw,Enemy_Pos_X,Enemy_Pos_Y,Enemy_Pos_Z,Enemy_Speed,Enemy_Health,Enemy_Turret_X,Enemy_Turret_Y,Enemy_Body_X,Enemy_Body_Y,Enemy_Body_Z
0.52,150.00,300.0000,9.4129,300.0000,-0.05,100.00,0.00,0.00,0.00,0.00,0.00,300.0070,12.4308,300.3499,299.6170,12.4308,300.3599,0.00,0.00,0.00,300.6170,12.4308,300.3599,0.00,0.00,0.00,300.0000,8.8349,150.0000,-0.03,100.00,180.00,0.00,180.00,0.00,0.00
1.02,150.00,300.0000,6.4077,300.0000,5.98,100.00,342.69,-0.13,342.69,0.13,0.48,299.8762,9.4247,300.3351,299.5009,9.4214,300.2286,0.48,0.13,342.69,300.4556,9.4299,300.5262,0.48,0.13,342.69,300.5483,8.4075,150.0101,1.38,100.00,180.54,-0.02,180.54,0.02,34.00
1.52,150.00,300.0000,6.0278,300.0000,0.75,100.00,322.55,-1.05,322.55,1.05,1.37,299.7018,9.0381,300.2819,299.3863,9.0285,300.0526,1.37,1.05,322.55,300.1797,9.0525,300.6609,1.37,1.05,322.55,300.9503,7.6182,150.0078,1.76,100.00,181.19,-0.47,181.19,0.47,53.93
2.03,149.99,299.9989,5.9219,299.9992,0.21,100.00,302.04,-1.63,302.04,1.63,0.72,299.6131,8.9285,300.2040,299.3979,8.9233,299.8787,0.72,1.63,302.04,299.9281,8.9359,300.7265,0.72,1.63,302.04,300.3941,7.0390,150.0180,1.57,100.00,181.27,-0.19,181.27,0.19,93.47
2.56,149.98,299.9899,6.4474,300.0001,1.00,100.00,281.13,-2.90,281.13,2.90,2.60,299.4724,9.4409,299.9698,299.3883,9.4228,299.5893,2.60,2.90,281.13,299.5788,9.4680,300.5699,2.60,2.90,281.13,299.9528,6.9695,150.0183,0.85,100.00,181.15,0.30,181.15,359.70,116.15
3.06,149.98,299.9892,6.4314,300.0000,0.03,100.00,261.53,-4.05,261.53,4.05,2.92,299.4551,9.4135,299.7719,299.5040,9.3930,299.3854,2.92,4.05,261.53,299.3534,9.4439,300.3727,2.92,4.05,261.53,299.8791,6.9749,150.0183,0.15,100.00,181.11,0.37,181.11,359.63,119.88
3.58,149.98,299.9892,6.4345,300.0000,0.01,100.00,241.07,-1.77,241.07,1.77,3.02,299.6752,9.4364,299.6531,299.8554,9.4155,299.3077,3.02,1.77,241.07,299.3709,9.4681,300.1809,3.02,1.77,241.07,299.9370,6.9704,150.0183,0.11,100.00,181.14,0.31,181.14,359.69,116.95
4.29,149.98,299.9892,6.4116,300.0000,0.03,100.00,226.13,-1.20,226.13,1.20,1.25,299.7322,9.4210,299.6716,299.9954,9.4123,299.3838,1.25,1.20,226.13,299.3021,9.4340,300.1042,1.25,1.20,226.13,300.0065,6.9688,150.0183,0.10,100.00,181.17,0.24,181.17,359.76,113.44
4.82,149.98,299.9892,6.4240,300.0000,0.02,100.00,224.53,-1.26,224.53,1.26,0.15,299.6980,9.4335,299.7028,299.9690,9.4323,299.4222,0.15,1.26,224.53,299.2561,9.4349,300.1234,0.15,1.26,224.53,300.0191,6.9689,150.0183,0.02,100.00,181.18,0.23,181.18,359.77,112.81
5.33,149.97,299.9770,6.4036,299.9873,0.05,100.00,223.88,-1.26,223.88,1.26,0.03,299.6847,9.4131,299.6909,299.9588,9.4127,299.4134,0.03,1.26,223.88,299.2381,9.4132,300.1066,0.03,1.26,223.88,300.0191,6.9689,150.0183,0.00,100.00,181.18,0.23,181.18,359.77,112.81
5.84,149.85,299.8596,6.3955,299.8652,0.34,100.00,224.00,-1.26,224.00,1.26,0.04,299.5667,9.4050,299.5693,299.8403,9.4045,299.2912,0.04,1.26,224.00,299.1210,9.4052,299.9859,0.04,1.26,224.00,300.0191,6.9689,150.0183,0.00,100.00,181.18,0.23,181.18,359.77,112.81
6.47,149.84,299.8528,6.4055,299.8580,0.02,100.00,225.03,-1.26,225.03,1.26,1.21,299.5983,9.4144,299.5237,299.8669,9.4060,299.2409,1.21,1.26,225.03,299.1600,9.4271,299.9479,1.21,1.26,225.03,300.0191,6.9689,150.0183,0.00,100.00,181.18,0.23,181.18,359.77,112.81
7.03,149.84,299.8528,6.4049,299.8580,0.00,100.00,226.40,-1.23,226.40,1.23,1.24,299.5926,9.4140,299.5298,299.8544,9.4054,299.2407,1.24,1.23,226.40,299.1646,9.4270,299.9643,1.24,1.23,226.40,300.0191,6.9689,150.0183,0.00,100.00,181.18,0.23,181.18,359.77,112.81
7.54,149.84,299.8528,6.3996,299.8580,0.01,100.00,227.14,-1.22,227.14,1.22,1.26,299.5895,9.4088,299.5331,299.8476,9.4001,299.2407,1.26,1.22,227.14,299.1672,9.4220,299.9732,1.26,1.22,227.14,300.0191,6.9689,150.0183,0.00,100.00,181.18,0.23,181.18,359.77,112.81
